payoff,paths,rmse_prng,rmse_qmc,slope_prng,slope_qmc
call,512,0.50524434,0.01248245,-0.49006071,-1.08442862
call,1024,0.34626633,0.00779995,-0.49006071,-1.08442862
call,2048,0.35824873,0.00553634,-0.49006071,-1.08442862
call,4096,0.21663506,0.00234033,-0.49006071,-1.08442862
call,8192,0.20135701,0.00069894,-0.49006071,-1.08442862
call,16384,0.07174604,0.00032701,-0.49006071,-1.08442862
asian,512,0.30815081,0.06544211,-0.48412848,-0.66493556
asian,1024,0.21244463,0.02888823,-0.48412848,-0.66493556
asian,2048,0.15053639,0.03302308,-0.48412848,-0.66493556
asian,4096,0.12995248,0.01219331,-0.48412848,-0.66493556
asian,8192,0.06218517,0.00851106,-0.48412848,-0.66493556
asian,16384,0.06331545,0.00660207,-0.48412848,-0.66493556
