symbol,trade_date,tenor_bucket,moneyness,ttm_years,days_to_expiration,spot,strike,rate,dividend,mid_price,mid_iv,vega,quotes
SPX,2024-06-17,30d,0.93,0.08767123287671233,32.0,4420.0,4100.0,0.015,0.01,323.8,0.13909127849191424,93.18220427440521,1
SPX,2024-06-17,30d,0.97,0.08767123287671233,32.0,4420.0,4300.0,0.015,0.01,203.39999999999998,0.2601329514770768,481.2443393998343,1
SPX,2024-06-17,30d,1.02,0.08767123287671233,32.0,4420.0,4500.0,0.015,0.01,97.75,0.2530088881416246,511.7133538782768,1
SPX,2024-06-17,30d,1.06,0.08767123287671233,32.0,4420.0,4700.0,0.015,0.01,37.55,0.24666549575030805,379.2587989466803,1
SPX,2024-06-17,30d,1.11,0.08767123287671233,32.0,4420.0,4900.0,0.015,0.01,10.5,0.23756056254692376,189.18516108921207,1
SPX,2024-06-17,60d,0.93,0.1643835616438356,60.0,4420.0,4100.0,0.015,0.01,349.25,0.1862649216604419,413.97009705010964,1
SPX,2024-06-17,60d,0.97,0.1643835616438356,60.0,4420.0,4300.0,0.015,0.01,235.8,0.23730774459084497,673.0406866569303,1
SPX,2024-06-17,60d,1.02,0.1643835616438356,60.0,4420.0,4500.0,0.015,0.01,136.35,0.2386792690575123,707.8853361969677,1
SPX,2024-06-17,60d,1.06,0.1643835616438356,60.0,4420.0,4700.0,0.015,0.01,63.95,0.22675099029587586,591.4188028368517,1
SPX,2024-06-17,60d,1.11,0.1643835616438356,60.0,4420.0,4900.0,0.015,0.01,26.9,0.22258658120818436,394.8471681975434,1
SPX,2024-06-17,90d,0.93,0.2602739726027397,95.0,4420.0,4100.0,0.015,0.01,372.9,0.18684738976415247,625.3697658994928,1
SPX,2024-06-17,90d,0.97,0.2602739726027397,95.0,4420.0,4300.0,0.015,0.01,268.79999999999995,0.22620348689276723,855.8275425836783,1
SPX,2024-06-17,90d,1.02,0.2602739726027397,95.0,4420.0,4500.0,0.015,0.01,173.89999999999998,0.23090812593610027,894.222926822772,1
SPX,2024-06-17,90d,1.06,0.2602739726027397,95.0,4420.0,4700.0,0.015,0.01,94.05,0.2184589398165233,798.1951003773648,1
SPX,2024-06-17,90d,1.11,0.2602739726027397,95.0,4420.0,4900.0,0.015,0.01,42.3,0.2046948224256281,586.2771324077057,1
